model,feature_set,split,MAE,RMSE,training_time_seconds
LinearRegression,F0,train,90.016,120.173,0.006873
LinearRegression,F0,val,155.2468,189.4488,0.006873
LinearRegression,F1,train,78.8463,107.365,0.003059
LinearRegression,F1,val,137.283,173.624,0.003059
Ridge,F0,train,90.0159,120.173,0.002889
Ridge,F0,val,155.247,189.4469,0.002889
Ridge,F1,train,78.846,107.365,0.001332
Ridge,F1,val,137.2825,173.6244,0.001332
RandomForest,F0,train,8.4316,14.047,2.913762
RandomForest,F0,val,50.8133,78.0483,2.913762
RandomForest,F1,train,8.3769,13.9401,3.693839
RandomForest,F1,val,51.0193,77.741,3.693839
GradientBoosting,F0,train,30.213,44.8998,1.016468
GradientBoosting,F0,val,57.2889,78.7566,1.016468
GradientBoosting,F1,train,28.78,42.9977,1.369625
GradientBoosting,F1,val,55.1662,77.9013,1.369625
MLP,F0,train,24.7097,36.2059,13.966987
MLP,F0,val,64.8821,92.2373,13.966987
MLP,F1,train,20.9486,31.6396,13.87837
MLP,F1,val,51.5502,70.4811,13.87837
Ridge,F1,val,137.1084,174.975,0.00185
RandomForest,F1,val,50.703,77.5476,8.229989
GradientBoosting,F1,val,46.9494,67.9745,6.436751
MLP,F1,val,52.1749,78.9476,15.747642
GradientBoosting,F1,test,50.274,74.6911,
