instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,sin_hour,cos_hour,sin_month,cos_month
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16,0.0,1.0,0.49999999999999994,0.8660254037844387
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387
