feature,correlation_with_cnt,abs_correlation_with_cnt
temp,0.40477227577865876,0.40477227577865876
atemp,0.40092930412663197,0.40092930412663197
hr,0.39407149778294315,0.39407149778294315
hum,-0.3229107408245602,0.3229107408245602
instant,0.27837869391745584,0.27837869391745584
yr,0.25049489885965187,0.25049489885965187
season,0.17805573098267552,0.17805573098267552
weathersit,-0.14242613813809527,0.14242613813809527
mnth,0.12063776021315241,0.12063776021315241
windspeed,0.09323378392612536,0.09323378392612536
holiday,-0.030927303249110697,0.030927303249110697
workingday,0.030284367747908734,0.030284367747908734
weekday,0.026899859990840495,0.026899859990840495
