model,feature_set,split,params,MAE,RMSE,training_time_seconds,n_estimators
Ridge,F0,validation,{'alpha': 0.1},155.2933351837518,189.77224196031443,0.00344737502746284,
Ridge,F0,validation,{'alpha': 1.0},155.29351172643842,189.7702640527951,0.0024219159968197346,
Ridge,F0,validation,{'alpha': 10.0},155.2932459797766,189.75339616988566,0.0018673748709261417,
Ridge,F0,validation,{'alpha': 100.0},155.20588381032908,189.70101093104907,0.0021353340707719326,
Ridge,F1,validation,{'alpha': 0.1},137.54992714444305,174.13229067257953,0.002687125001102686,
Ridge,F1,validation,{'alpha': 1.0},137.54930825527583,174.13243736820783,0.0025259170215576887,
Ridge,F1,validation,{'alpha': 10.0},137.5434591775854,174.13532333511972,0.0023418329656124115,
Ridge,F1,validation,{'alpha': 100.0},137.50630085271865,174.2190789971178,0.002233915962278843,
RandomForestRegressor,F0,validation,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 1}",49.47011402359681,73.17531541027591,3.084371499950066,
RandomForestRegressor,F0,validation,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 4}",48.7338808332024,71.56231964347742,2.9782452501822263,
RandomForestRegressor,F0,validation,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 1}",49.138264884854365,72.87203947002814,6.178344750078395,
RandomForestRegressor,F0,validation,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1}",47.53298308811442,73.5662252234219,10.804012708133087,
RandomForestRegressor,F0,validation,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 4}",45.301112517508486,68.55155229121647,7.867082209093496,
RandomForestRegressor,F1,validation,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 1}",54.066851150876005,79.14732492355978,3.896212917054072,
RandomForestRegressor,F1,validation,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 4}",51.08356961786872,73.80785808997761,3.7820923749823123,
RandomForestRegressor,F1,validation,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 1}",53.664493857703214,78.71297842952295,7.789969665929675,
RandomForestRegressor,F1,validation,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1}",49.74731921840466,75.46970588661162,13.416056833928451,
RandomForestRegressor,F1,validation,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 4}",47.65940830735639,70.54876408354227,9.914098917040974,
GradientBoostingRegressor,F0,validation,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 2}",107.9176398061728,146.9117938687801,0.5229280418716371,100.0
GradientBoostingRegressor,F0,validation,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2}",102.25189705631992,133.08218380438908,1.0226090420037508,200.0
GradientBoostingRegressor,F0,validation,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2}",99.91851925787999,128.3933250899007,1.5527909169904888,300.0
GradientBoostingRegressor,F0,validation,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 2}",97.38747694385094,125.00998460492956,2.0690639580134302,400.0
GradientBoostingRegressor,F0,validation,"{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 2}",95.76562261887399,122.40849564912558,1.0751109588891268,200.0
GradientBoostingRegressor,F0,validation,"{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 3}",58.3091482466666,80.92039607176784,2.273498584050685,300.0
GradientBoostingRegressor,F0,validation,"{'n_estimators': 400, 'learning_rate': 0.1, 'max_depth': 3}",58.37119392102272,80.73297938755722,2.9274362078867853,400.0
GradientBoostingRegressor,F1,validation,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 2}",101.63006350120293,135.60483395007103,0.6884789168834686,100.0
GradientBoostingRegressor,F1,validation,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2}",89.92333268166865,117.67797820442227,1.3641653750091791,200.0
