instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,timestamp,sin_hour,cos_hour,sin_month,cos_month
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16,2011-01-01 00:00:00,0.0,1.0,0.0,1.0
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40,2011-01-01 01:00:00,0.25881904510252074,0.9659258262890683,0.0,1.0
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32,2011-01-01 02:00:00,0.49999999999999994,0.8660254037844387,0.0,1.0
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13,2011-01-01 03:00:00,0.7071067811865475,0.7071067811865476,0.0,1.0
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1,2011-01-01 04:00:00,0.8660254037844386,0.5000000000000001,0.0,1.0
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,2011-01-01 05:00:00,0.9659258262890683,0.25881904510252074,0.0,1.0
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,2011-01-01 06:00:00,1.0,6.123233995736766e-17,0.0,1.0
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3,2011-01-01 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,1.0
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8,2011-01-01 08:00:00,0.8660254037844387,-0.49999999999999983,0.0,1.0
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14,2011-01-01 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,1.0
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36,2011-01-01 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,1.0
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56,2011-01-01 11:00:00,0.258819045102521,-0.9659258262890682,0.0,1.0
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84,2011-01-01 12:00:00,1.2246467991473532e-16,-1.0,0.0,1.0
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94,2011-01-01 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,1.0
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106,2011-01-01 14:00:00,-0.4999999999999998,-0.8660254037844388,0.0,1.0
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110,2011-01-01 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,1.0
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93,2011-01-01 16:00:00,-0.8660254037844384,-0.5000000000000004,0.0,1.0
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67,2011-01-01 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,1.0
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35,2011-01-01 18:00:00,-1.0,-1.8369701987210297e-16,0.0,1.0
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37,2011-01-01 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,1.0
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36,2011-01-01 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,1.0
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34,2011-01-01 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,1.0
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28,2011-01-01 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,1.0
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39,2011-01-01 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,1.0
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17,2011-01-02 00:00:00,0.0,1.0,0.0,1.0
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17,2011-01-02 01:00:00,0.25881904510252074,0.9659258262890683,0.0,1.0
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9,2011-01-02 02:00:00,0.49999999999999994,0.8660254037844387,0.0,1.0
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,6,2011-01-02 03:00:00,0.7071067811865475,0.7071067811865476,0.0,1.0
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,3,2011-01-02 04:00:00,0.8660254037844386,0.5000000000000001,0.0,1.0
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2,2011-01-02 06:00:00,1.0,6.123233995736766e-17,0.0,1.0
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,1,2011-01-02 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,1.0
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8,2011-01-02 08:00:00,0.8660254037844387,-0.49999999999999983,0.0,1.0
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20,2011-01-02 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,1.0
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53,2011-01-02 10:00:00,0.49999999999999994,-0.8660254037844387,0.0,1.0
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70,2011-01-02 11:00:00,0.258819045102521,-0.9659258262890682,0.0,1.0
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93,2011-01-02 12:00:00,1.2246467991473532e-16,-1.0,0.0,1.0
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75,2011-01-02 13:00:00,-0.2588190451025208,-0.9659258262890683,0.0,1.0
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,59,2011-01-02 14:00:00,-0.4999999999999998,-0.8660254037844388,0.0,1.0
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74,2011-01-02 15:00:00,-0.7071067811865471,-0.7071067811865479,0.0,1.0
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76,2011-01-02 16:00:00,-0.8660254037844384,-0.5000000000000004,0.0,1.0
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,65,2011-01-02 17:00:00,-0.9659258262890683,-0.25881904510252063,0.0,1.0
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53,2011-01-02 18:00:00,-1.0,-1.8369701987210297e-16,0.0,1.0
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30,2011-01-02 19:00:00,-0.9659258262890684,0.2588190451025203,0.0,1.0
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22,2011-01-02 20:00:00,-0.8660254037844386,0.5000000000000001,0.0,1.0
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31,2011-01-02 21:00:00,-0.7071067811865477,0.7071067811865474,0.0,1.0
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9,2011-01-02 22:00:00,-0.5000000000000004,0.8660254037844384,0.0,1.0
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8,2011-01-02 23:00:00,-0.25881904510252157,0.9659258262890681,0.0,1.0
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5,2011-01-03 00:00:00,0.0,1.0,0.0,1.0
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2,2011-01-03 01:00:00,0.25881904510252074,0.9659258262890683,0.0,1.0
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1,2011-01-03 04:00:00,0.8660254037844386,0.5000000000000001,0.0,1.0
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3,2011-01-03 05:00:00,0.9659258262890683,0.25881904510252074,0.0,1.0
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30,2011-01-03 06:00:00,1.0,6.123233995736766e-17,0.0,1.0
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,64,2011-01-03 07:00:00,0.9659258262890683,-0.25881904510252063,0.0,1.0
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154,2011-01-03 08:00:00,0.8660254037844387,-0.49999999999999983,0.0,1.0
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88,2011-01-03 09:00:00,0.7071067811865476,-0.7071067811865475,0.0,1.0
