instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,datetime,sin_hour,cos_hour,sin_month,cos_month
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16,2011-01-01,0.0,1.0,0.5406408174555976,0.8412535328311812
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39,2011-01-01,-2.4492935982947064e-16,1.0,0.5406408174555976,0.8412535328311812
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28,2011-01-01,-0.2697967711570252,0.962917287347799,0.5406408174555976,0.8412535328311812
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,34,2011-01-01,-0.5195839500354336,0.8544194045464886,0.5406408174555976,0.8412535328311812
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36,2011-01-01,-0.730835964278124,0.6825531432186542,0.5406408174555976,0.8412535328311812
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37,2011-01-01,-0.8878852184023756,0.4600650377311516,0.5406408174555976,0.8412535328311812
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35,2011-01-01,-0.979084087682323,0.2034560130526333,0.5406408174555976,0.8412535328311812
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93,2011-01-01,-0.9422609221188204,-0.3348796121709864,0.5406408174555976,0.8412535328311812
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110,2011-01-01,-0.816969893010442,-0.5766803221148672,0.5406408174555976,0.8412535328311812
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106,2011-01-01,-0.6310879443260528,-0.7757112907044198,0.5406408174555976,0.8412535328311812
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94,2011-01-01,-0.39840108984624156,-0.9172113015054529,0.5406408174555976,0.8412535328311812
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84,2011-01-01,-0.1361666490962464,-0.9906859460363308,0.5406408174555976,0.8412535328311812
