model,feature_set,split,MAE,RMSE,training_time_seconds
<<<<<<< HEAD
Ridge,F0,validation,155.32976607291758,189.7169481940166,0.03127026557922363
Ridge,F1,validation,137.53867342362415,174.0995361603753,0.020745277404785156
RandomForest,F0,validation,47.847301112389715,73.68824791314964,21.608694553375244
RandomForest,F1,validation,48.982276243447124,74.78936990955918,27.670936346054077
GradientBoosting,F0,validation,74.5690516970597,102.85470700387316,4.581015110015869
GradientBoosting,F1,validation,74.50918410694152,100.39494688659114,5.654186010360718
MLP,F0,validation,98.20769501128966,139.67122239071077,198.78662538528442
MLP,F1,validation,68.09542993253295,96.5898984375985,270.98927092552185
=======
Ridge,F0,validation,155.32976607291758,189.7169481940166,0.011476278305053711
Ridge,F1,validation,137.53867342362403,174.09953616037532,0.007433176040649414
RandomForest,F0,validation,47.847301112389715,73.68824791314964,5.166432857513428
RandomForest,F1,validation,51.35973846055491,77.61867883302078,6.354334354400635
GradientBoosting,F0,validation,74.5690516970597,102.85470700387316,1.140181303024292
GradientBoosting,F1,validation,72.74501305179476,98.05053815087199,1.4120378494262695
MLP,F0,validation,98.20769501128966,139.67122239071077,109.59037184715271
MLP,F1,validation,68.83869136926485,95.99598823299802,160.2155303955078
>>>>>>> 1914c2dd4cad679f031794efb9ef4d9b9ba61dc2
