model,feature_set,split,params,MAE,RMSE,training_time_seconds
RandomForestRegressor,F0,validation,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 4, 'random_state': 42, 'n_jobs': 1}",45.301112517508486,68.55155229121647,8.032261749962345
RandomForestRegressor,F0,validation,"{'n_estimators': 400, 'max_depth': 20, 'min_samples_leaf': 4, 'random_state': 42, 'n_jobs': 1}",45.31722039806278,68.57529164286761,7.899738124804571
RandomForestRegressor,F0,validation,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 4, 'random_state': 42, 'n_jobs': 1}",45.49876960990509,68.8188019547869,3.9524803329259157
RandomForestRegressor,F0,validation,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 4, 'random_state': 42, 'n_jobs': 1}",45.50820405972852,68.83881291867694,3.978775957832113
RandomForestRegressor,F0,validation,"{'n_estimators': 400, 'max_depth': 20, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",45.828287156447935,70.4367402510431,9.234396874904633
RandomForestRegressor,F1,validation,"{'n_estimators': 400, 'max_depth': 20, 'min_samples_leaf': 4, 'random_state': 42, 'n_jobs': 1}",45.849989737582355,68.71422327836923,10.02340704202652
RandomForestRegressor,F1,validation,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 4, 'random_state': 42, 'n_jobs': 1}",45.86694954978839,68.7577065852107,10.063785542035475
RandomForestRegressor,F0,validation,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",45.88548112094135,70.5021208897004,9.396127125015482
RandomForestRegressor,F0,validation,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",46.02116384951045,70.56585897362629,4.6530525831039995
RandomForestRegressor,F0,validation,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",46.15186057476492,70.69222246948034,4.669576667016372
RandomForestRegressor,F1,validation,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 4, 'random_state': 42, 'n_jobs': 1}",46.18358125021552,69.13520251603494,5.058914458146319
RandomForestRegressor,F1,validation,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 4, 'random_state': 42, 'n_jobs': 1}",46.2162874320084,69.2288189615102,5.039875499904156
RandomForestRegressor,F1,validation,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",46.286711671450384,70.38992835934435,11.797732583014295
RandomForestRegressor,F1,validation,"{'n_estimators': 400, 'max_depth': 20, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",46.43492448778824,70.51442667355117,11.681079041911289
RandomForestRegressor,F1,validation,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",46.656187060685774,70.73789253207156,5.931896332884207
RandomForestRegressor,F1,validation,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 2, 'random_state': 42, 'n_jobs': 1}",46.83724589792688,70.81479596826851,5.836289667058736
RandomForestRegressor,F0,validation,"{'n_estimators': 400, 'max_depth': 20, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",47.40551698467665,73.36474178681681,10.82250037509948
RandomForestRegressor,F0,validation,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",47.53298308811442,73.5662252234219,11.044652000069618
RandomForestRegressor,F0,validation,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",47.89101244793382,73.89774552768428,5.399986708071083
RandomForestRegressor,F0,validation,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",47.90039872961075,73.91539459014415,5.5692512090317905
RandomForestRegressor,F1,validation,"{'n_estimators': 400, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",47.90608604809396,73.65808344553467,13.89480070816353
RandomForestRegressor,F1,validation,"{'n_estimators': 400, 'max_depth': 20, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",47.95944158459323,73.61201761545547,13.44649716699496
RandomForestRegressor,F1,validation,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",48.490811848137795,74.37601733436243,6.946664791088551
RandomForestRegressor,F0,validation,"{'n_estimators': 400, 'max_depth': 10, 'min_samples_leaf': 4, 'random_state': 42, 'n_jobs': 1}",48.57441376870534,71.39722762719315,5.967629209160805
RandomForestRegressor,F1,validation,"{'n_estimators': 200, 'max_depth': 20, 'min_samples_leaf': 1, 'random_state': 42, 'n_jobs': 1}",48.66710627202393,74.4309528243376,6.762907958822325
