model,feature_set,split,MAE,RMSE,training_time_seconds
LinearRegression,F0,train,90.1099,120.2411,0.0017
LinearRegression,F0,val,155.2933,189.7725,0.0017
LinearRegression,F1,train,78.8717,107.3663,0.002
LinearRegression,F1,val,137.55,174.1323,0.002
Ridge,F0,train,90.1173,120.2431,0.0016
Ridge,F0,val,155.3298,189.7169,0.0016
Ridge,F1,train,78.8717,107.3671,0.001
Ridge,F1,val,137.5387,174.0995,0.001
RandomForest,F0,train,18.3734,30.5533,3.5482
RandomForest,F0,val,45.8034,68.941,3.5482
RandomForest,F1,train,18.1373,30.1856,4.5159
RandomForest,F1,val,46.4727,69.4066,4.5159
GradientBoosting,F0,train,16.1131,25.263,4.1388
GradientBoosting,F0,val,49.4513,72.2741,4.1388
GradientBoosting,F1,train,15.5893,24.317,5.4602
GradientBoosting,F1,val,46.6152,68.9218,5.4602
MLP,F0,train,25.1381,37.4876,5.7761
MLP,F0,val,51.4687,77.0261,5.7761
MLP,F1,train,22.5461,35.1304,3.6036
MLP,F1,val,61.3936,86.1123,3.6036
