model,feature_set,split,MAE,RMSE,training_time_seconds
Linear Regression,F0,validation,155.49284779461,190.09206191449957,0.0020020008087158
Linear Regression,F1,validation,137.69803029809054,174.5126349736915,0.0030045509338378
Ridge,F0,validation,155.52957343480466,190.0383107421225,0.0020024776458740234
Ridge,F1,validation,137.68791993384227,174.48128959990044,0.0
Random Forest,F0,validation,47.506705348832845,73.03325501138866,1.8501372337341309
Random Forest,F1,validation,48.18384400492394,73.67421832405971,2.323637008666992
Gradient Boosting,F0,validation,49.775428427489764,72.426599581367,0.9119119644165039
Gradient Boosting,F1,validation,47.84649239826811,69.78737848945269,1.1644535064697266
MLP,F0,validation,69.12469408067474,104.32901428913613,24.0221586227417
MLP,F1,validation,58.57694578056018,81.51232625686758,21.566686153411865
